text_bem,text_en,score
Umuntu umo uwiita ati Henry acilafwaya ukukumona.,Someone named Henry wanted to see you.,0.772524535660198
Talelwala iyo.,He's not sick.,0.8117475825419915
Bushe bwangalo nshi watemwisha sana?,Which sport do you like the most?,0.8352593397166453
Bushe fyonse wacibelenga?,Did you read everything?,0.8257970399501007
Calisuminishiwa ukutwishika.,It's permissible to doubt.,0.7798155032018849
Ndetema inkoko mu fipendo fisano.,I'm cutting the chicken into five pieces.,0.7751819931406485
bushe ine muntu fye uwalinga?,Am I normal?,0.7700616449388644
Abafyashi bandi bekala mu ncende ya Windhoek elyo ine ndikala mu musumba wa Lüderitz.,My parents live in Windhoek and I live in Lüderitz.,0.7742508401614485
Bafwile baikala.,They must stay.,0.8132211202747225
awe kanshi ifyo uleesha ukulanda tafishibikwe mukwai.,I do not understand what you are trying to say.,0.800806919957581
Bushe mailo uleya ku Noboribetsu?,Are you going to Noboribetsu tomorrow?,0.9103198438584296
Ndemona umwaice wandi aleikata isabi.,It looks like my younger brother is fishing.,0.7720438493878108
"Ici cintu te luba, cimuti.",That thing isn't a flower; that's a tree.,0.7985162235189046
Ilya iluba lili ilyabuuta.,That flower is white.,0.7792157388013252
Bashibile icitabo cakwa namayo Hana.,They stole Mrs. Hana's book.,0.845517862244695
Mary nakwata ifitabo fyonse.,Mary has all the books.,0.8192817311069941
mwati waliyapo ku Albania?,Have you ever been to Albania?,0.8580224597429202
Emukwai ku kulyo kwenu kuli Embassy yakucalo ca America.,The American Embassy is on your right.,0.8169316628646878
Nikwisa ukuli icikulwa ca malila icisuma?,Where is a good hotel?,0.7841428547806747
Alenwa ubwalwa.,He drank a beer.,0.8330870108236715
Welcome to Wikipedia iya cingeleshi.,Welcome to the English Wikipedia.,0.7739484621030632
